function,answer
AddNewReservation,B
AddNewReservationScreen,D
AddNewRoom,B
AddNewRoomScreen,A
AddNewUser,C
AddNewUserScreen,A
CheckRoomAvailabilityScreen,D
DeleteReservationByID,B
DeleteReservationScreen,A
DeleteRoomByID,B
DeleteRoomScreen,C
DeleteUserByID,B
DeleteUserScreen,D
DisplayReservationCard,C
DisplayReservationsScreen,A
DisplayRoomCard,B
DisplayRoomListScreen,C
DisplayUserCard,A
DisplayUserListScreen,C
ExitScreen,B
IsDate1BeforeDate2,A
IsTime1BeforeTime2,B
MainMenu,B
PauseProgram,B
ReadDate,B
ReadIntBetween,B
ReadReservationInfo,D
ReadReservationPeriod,B
ReadRoomInfo,B
ReadTime,D
ReadUserInfo,C
ReservationManagementMenu,B
RoomManagementMenu,B
ScreenHeader,A
SearchReservationByID,A
SearchRoomByID,D
SearchRoomByIDScreen,A
SearchRoomByName,C
SearchRoomByNameScreen,D
SearchUserByFirstName,C
SearchUserByFirstNameScreen,A
SearchUserByID,B
SearchUserByIDScreen,B
SortReservationsByDate,C
SortReservationsByDateScreen,A
SwapReservationData,A
UserManagementMenu,D
main,B
