function,predicted,correct,is_correct
AddNewReservation,B,B,True
AddNewReservationScreen,D,D,True
AddNewRoom,B,B,True
AddNewRoomScreen,A,A,True
AddNewUser,C,C,True
AddNewUserScreen,A,A,True
CheckRoomAvailabilityScreen,D,D,True
DeleteReservationByID,B,B,True
DeleteReservationScreen,A,A,True
DeleteRoomByID,B,B,True
DeleteRoomScreen,C,C,True
DeleteUserByID,B,B,True
DeleteUserScreen,D,C,False
DisplayReservationCard,C,C,True
DisplayReservationsScreen,D,D,True
DisplayRoomCard,B,B,True
DisplayRoomListScreen,C,C,True
DisplayUserCard,A,A,True
DisplayUserListScreen,C,C,True
ExitScreen,B,B,True
IsDate1BeforeDate2,A,A,True
IsTime1BeforeTime2,B,B,True
MainMenu,B,B,True
PauseProgram,B,B,True
ReadDate,B,B,True
ReadIntBetween,B,B,True
ReadReservationInfo,D,A,False
ReadReservationPeriod,B,B,True
ReadRoomInfo,B,B,True
ReadTime,D,D,True
ReadUserInfo,C,C,True
ReservationManagementMenu,B,B,True
RoomManagementMenu,B,B,True
ScreenHeader,A,A,True
SearchReservationByID,A,A,True
SearchRoomByID,D,D,True
SearchRoomByIDScreen,A,A,True
SearchRoomByName,C,C,True
SearchRoomByNameScreen,D,B,False
SearchUserByFirstName,C,C,True
SearchUserByFirstNameScreen,A,A,True
SearchUserByID,A,B,False
SearchUserByIDScreen,B,B,True
SortReservationsByDate,C,C,True
SortReservationsByDateScreen,A,A,True
SwapReservationData,A,A,True
UserManagementMenu,D,D,True
main,B,B,True
