function,answer,elapsed_time_sec
AddNewReservation,D,1.77
AddNewReservationScreen,B,0.8
AddNewRoom,C,0.85
AddNewRoomScreen,C,0.82
AddNewUser,A,0.65
AddNewUserScreen,D,1.0
CheckRoomAvailabilityScreen,C,0.69
DeleteReservationByID,B,1.28
DeleteReservationScreen,B,0.65
DeleteRoomByID,D,0.78
DeleteRoomScreen,A,0.72
DeleteUserByID,B,0.77
DeleteUserScreen,A,0.68
DisplayReservationCard,D,0.63
DisplayReservationsScreen,D,0.69
DisplayRoomCard,D,0.66
DisplayRoomListScreen,D,0.67
DisplayUserCard,D,0.75
DisplayUserListScreen,A,0.75
ExitScreen,C,5.71
IsDate1BeforeDate2,D,0.81
IsTime1BeforeTime2,C,6.44
MainMenu,C,0.69
PauseProgram,D,2.61
ReadDate,C,1.27
ReadIntBetween,A,0.86
ReadReservationInfo,A,0.65
ReadReservationPeriod,D,0.63
ReadRoomInfo,C,0.73
ReadTime,D,0.69
ReadUserInfo,D,0.76
ReservationManagementMenu,C,0.64
RoomManagementMenu,C,0.79
ScreenHeader,C,0.8
SearchReservationByID,B,2.69
SearchRoomByID,B,3.25
SearchRoomByIDScreen,B,4.28
SearchRoomByName,D,3.71
SearchRoomByNameScreen,A,3.8
SearchUserByFirstName,B,3.96
SearchUserByFirstNameScreen,A,3.9
SearchUserByID,D,0.91
SearchUserByIDScreen,D,5.72
SortReservationsByDate,B,5.09
SortReservationsByDateScreen,B,0.79
SwapReservationData,C,0.77
UserManagementMenu,A,10.12
main,D,3.98

TOTAL_ELAPSED_TIME(sec),92.66,
