function,answer,elapsed_time_sec
AddNewReservation,D,26.28
AddNewReservationScreen,B,34.8
AddNewRoom,C,35.44
AddNewRoomScreen,C,35.28
AddNewUser,A,35.19
AddNewUserScreen,D,35.57
CheckRoomAvailabilityScreen,C,35.37
DeleteReservationByID,B,35.46
DeleteReservationScreen,B,35.63
DeleteRoomByID,D,35.11
DeleteRoomScreen,A,35.31
DeleteUserByID,B,35.8
DeleteUserScreen,A,35.11
DisplayReservationCard,D,35.45
DisplayReservationsScreen,D,35.2
DisplayRoomCard,D,35.37
DisplayRoomListScreen,A,35.88
DisplayUserCard,D,34.89
DisplayUserListScreen,A,35.28
ExitScreen,C,35.42
IsDate1BeforeDate2,D,35.3
IsTime1BeforeTime2,C,35.49
MainMenu,A,35.77
PauseProgram,D,35.27
ReadDate,C,35.19
ReadIntBetween,A,35.47
ReadReservationInfo,A,35.37
ReadReservationPeriod,D,35.38
ReadRoomInfo,C,35.46
ReadTime,D,35.27
ReadUserInfo,D,35.59
ReservationManagementMenu,C,35.38
RoomManagementMenu,C,35.51
ScreenHeader,C,35.55
SearchReservationByID,B,35.27
SearchRoomByID,B,35.23
SearchRoomByIDScreen,B,35.73
SearchRoomByName,D,35.24
SearchRoomByNameScreen,A,35.54
SearchUserByFirstName,C,35.42
SearchUserByFirstNameScreen,A,35.45
SearchUserByID,D,35.48
SearchUserByIDScreen,D,35.37
SortReservationsByDate,B,35.34
SortReservationsByDateScreen,B,35.32
SwapReservationData,C,35.32
UserManagementMenu,A,35.42
main,D,35.84

TOTAL_ELAPSED_TIME(sec),1738.15
