function,answer,elapsed_time_sec
AddNewReservation,D,11.42
AddNewReservationScreen,B,6.43
AddNewRoom,?,5.97
AddNewRoomScreen,C,19.6
AddNewUser,D,6.08
AddNewUserScreen,D,6.06
CheckRoomAvailabilityScreen,C,30.04
DeleteReservationByID,C,8.14
DeleteReservationScreen,B,7.58
DeleteRoomByID,D,45.37
DeleteRoomScreen,D,6.86
DeleteUserByID,B,9.95
DeleteUserScreen,?,5.7
DisplayReservationCard,D,5.09
DisplayReservationsScreen,C,6.28
DisplayRoomCard,D,8.95
DisplayRoomListScreen,D,10.04
DisplayUserCard,D,7.61
DisplayUserListScreen,A,10.09
ExitScreen,A,6.54
IsDate1BeforeDate2,D,6.0
IsTime1BeforeTime2,?,6.11
MainMenu,C,12.06
PauseProgram,B,10.14
ReadDate,C,4.97
ReadIntBetween,D,9.1
ReadReservationInfo,A,9.75
ReadReservationPeriod,D,17.14
ReadRoomInfo,D,10.18
ReadTime,D,5.69
ReadUserInfo,D,7.4
ReservationManagementMenu,C,10.12
RoomManagementMenu,A,11.74
ScreenHeader,C,8.73
SearchReservationByID,B,5.4
SearchRoomByID,B,9.66
SearchRoomByIDScreen,B,13.26
SearchRoomByName,?,8.47
SearchRoomByNameScreen,C,12.96
SearchUserByFirstName,B,9.05
SearchUserByFirstNameScreen,D,5.6
SearchUserByID,D,5.92
SearchUserByIDScreen,D,8.56
SortReservationsByDate,D,6.47
SortReservationsByDateScreen,D,9.36
SwapReservationData,D,11.46
UserManagementMenu,D,4.35
main,D,8.46

TOTAL_ELAPSED_TIME(sec),481.84
