function,answer,elapsed_time_sec
AddNewReservation,D,3.63
AddNewReservationScreen,B,2.3
AddNewRoom,C,3.49
AddNewRoomScreen,C,1.96
AddNewUser,A,1.88
AddNewUserScreen,D,1.36
CheckRoomAvailabilityScreen,C,2.38
DeleteReservationByID,B,2.38
DeleteReservationScreen,B,2.51
DeleteRoomByID,A,3.01
DeleteRoomScreen,A,2.29
DeleteUserByID,A,2.79
DeleteUserScreen,D,2.79
DisplayReservationCard,D,3.39
DisplayReservationsScreen,D,2.04
DisplayRoomCard,D,1.71
DisplayRoomListScreen,D,2.12
DisplayUserCard,D,1.82
DisplayUserListScreen,A,2.3
ExitScreen,A,1.69
IsDate1BeforeDate2,D,3.67
IsTime1BeforeTime2,C,2.81
MainMenu,C,2.22
PauseProgram,D,2.55
ReadDate,C,2.85
ReadIntBetween,D,2.87
ReadReservationInfo,B,3.02
ReadReservationPeriod,D,2.38
ReadRoomInfo,C,1.65
ReadTime,D,2.16
ReadUserInfo,C,2.1
ReservationManagementMenu,C,2.05
RoomManagementMenu,C,3.0
ScreenHeader,D,1.8
SearchReservationByID,B,2.95
SearchRoomByID,B,2.88
SearchRoomByIDScreen,B,2.86
SearchRoomByName,D,2.01
SearchRoomByNameScreen,B,2.81
SearchUserByFirstName,B,2.15
SearchUserByFirstNameScreen,A,2.81
SearchUserByID,D,2.78
SearchUserByIDScreen,D,1.58
SortReservationsByDate,B,2.41
SortReservationsByDateScreen,B,1.98
SwapReservationData,D,2.87
UserManagementMenu,D,1.66
main,D,2.46

TOTAL_ELAPSED_TIME(sec),126.88
