function,answer,elapsed_time_sec
AddNewReservation,D,6.83
AddNewReservationScreen,B,1.23
AddNewRoom,C,1.18
AddNewRoomScreen,C,2.1
AddNewUser,A,1.29
AddNewUserScreen,D,1.73
CheckRoomAvailabilityScreen,C,1.69
DeleteReservationByID,B,1.41
DeleteReservationScreen,B,1.31
DeleteRoomByID,C,1.75
DeleteRoomScreen,B,1.2
DeleteUserByID,D,1.52
DeleteUserScreen,D,1.31
DisplayReservationCard,D,1.43
DisplayReservationsScreen,D,1.64
DisplayRoomCard,D,2.33
DisplayRoomListScreen,D,1.38
DisplayUserCard,D,1.27
DisplayUserListScreen,A,1.26
ExitScreen,A,1.21
IsDate1BeforeDate2,D,1.17
IsTime1BeforeTime2,C,1.33
MainMenu,C,1.37
PauseProgram,D,1.3
ReadDate,C,1.86
ReadIntBetween,D,1.42
ReadReservationInfo,B,1.85
ReadReservationPeriod,D,2.12
ReadRoomInfo,C,1.85
ReadTime,D,1.51
ReadUserInfo,D,1.59
ReservationManagementMenu,C,1.5
RoomManagementMenu,C,1.29
ScreenHeader,B,1.27
SearchReservationByID,B,1.39
SearchRoomByID,B,1.27
SearchRoomByIDScreen,D,2.84
SearchRoomByName,D,1.93
SearchRoomByNameScreen,B,2.43
SearchUserByFirstName,B,1.41
SearchUserByFirstNameScreen,C,1.62
SearchUserByID,D,1.33
SearchUserByIDScreen,D,1.42
SortReservationsByDate,B,1.81
SortReservationsByDateScreen,B,1.5
SwapReservationData,D,1.32
UserManagementMenu,D,1.39
main,C,1.78

TOTAL_ELAPSED_TIME(sec),89.84
