function,answer,elapsed_time_sec
AddNewReservation,D,8.31
AddNewReservationScreen,B,0.86
AddNewRoom,C,0.85
AddNewRoomScreen,C,2.95
AddNewUser,A,1.99
AddNewUserScreen,D,0.84
CheckRoomAvailabilityScreen,C,5.98
DeleteReservationByID,B,0.84
DeleteReservationScreen,B,5.04
DeleteRoomByID,C,4.47
DeleteRoomScreen,A,2.48
DeleteUserByID,B,0.84
DeleteUserScreen,A,1.46
DisplayReservationCard,D,4.71
DisplayReservationsScreen,D,2.16
DisplayRoomCard,D,4.99
DisplayRoomListScreen,D,1.93
DisplayUserCard,D,7.43
DisplayUserListScreen,A,3.47
ExitScreen,A,6.18
IsDate1BeforeDate2,D,3.37
IsTime1BeforeTime2,C,5.27
MainMenu,C,0.87
PauseProgram,D,0.83
ReadDate,C,5.35
ReadIntBetween,D,0.84
ReadReservationInfo,B,0.85
ReadReservationPeriod,D,4.81
ReadRoomInfo,C,2.25
ReadTime,D,4.04
ReadUserInfo,C,4.34
ReservationManagementMenu,C,6.94
RoomManagementMenu,C,6.1
ScreenHeader,C,2.49
SearchReservationByID,B,1.13
SearchRoomByID,B,5.08
SearchRoomByIDScreen,B,2.75
SearchRoomByName,D,5.19
SearchRoomByNameScreen,A,2.08
SearchUserByFirstName,B,3.87
SearchUserByFirstNameScreen,C,4.71
SearchUserByID,D,2.08
SearchUserByIDScreen,D,5.12
SortReservationsByDate,B,2.49
SortReservationsByDateScreen,B,2.04
SwapReservationData,D,2.22
UserManagementMenu,A,2.06
main,C,0.84

TOTAL_ELAPSED_TIME(sec),167.6
