function,answer
AddNewReservation,B
AddNewReservationScreen,D
AddNewRoom,B
AddNewRoomScreen,A
AddNewUser,C
AddNewUserScreen,A
CheckRoomAvailabilityScreen,?
DeleteReservationByID,B
DeleteReservationScreen,A
DeleteRoomByID,?
DeleteRoomScreen,C
DeleteUserByID,B
DeleteUserScreen,?
DisplayReservationCard,C
DisplayReservationsScreen,D
DisplayRoomCard,?
DisplayRoomListScreen,C
DisplayUserCard,A
DisplayUserListScreen,?
ExitScreen,B
IsDate1BeforeDate2,A
IsTime1BeforeTime2,?
MainMenu,B
PauseProgram,B
ReadDate,?
ReadIntBetween,B
ReadReservationInfo,D
ReadReservationPeriod,?
ReadRoomInfo,B
ReadTime,D
ReadUserInfo,?
ReservationManagementMenu,B
RoomManagementMenu,B
ScreenHeader,?
SearchReservationByID,A
SearchRoomByID,D
SearchRoomByIDScreen,?
SearchRoomByName,C
SearchRoomByNameScreen,B
SearchUserByFirstName,?
SearchUserByFirstNameScreen,A
SearchUserByID,B
SearchUserByIDScreen,?
SortReservationsByDate,C
SortReservationsByDateScreen,A
SwapReservationData,?
UserManagementMenu,D
main,B

TOTAL_ELAPSED_TIME(sec),917.81
