function,answer,elapsed_time_sec
AddNewReservation,C,33.13
AddNewReservationScreen,?,19.0
AddNewRoom,B,62.01
AddNewRoomScreen,A,61.01
AddNewUser,?,16.19
AddNewUserScreen,C,67.81
CheckRoomAvailabilityScreen,A,58.75
DeleteReservationByID,C,41.38
DeleteReservationScreen,?,2.81
DeleteRoomByID,C,37.8
DeleteRoomScreen,A,38.41
DeleteUserByID,C,38.12
DeleteUserScreen,D,38.25
DisplayReservationCard,?,2.79
DisplayReservationsScreen,?,2.8
DisplayRoomCard,?,2.78
DisplayRoomListScreen,A,37.6
DisplayUserCard,C,38.24
DisplayUserListScreen,?,2.8
ExitScreen,?,2.81
IsDate1BeforeDate2,?,2.81
IsTime1BeforeTime2,C,37.29
MainMenu,A,38.3
PauseProgram,?,2.81
ReadDate,C,37.93
ReadIntBetween,C,38.31
ReadReservationInfo,C,38.39
ReadReservationPeriod,A,38.04
ReadRoomInfo,?,2.75
ReadTime,C,37.8
ReadUserInfo,C,38.62
ReservationManagementMenu,?,3.79
RoomManagementMenu,B,38.2
ScreenHeader,?,2.7
SearchReservationByID,C,6.19
SearchRoomByID,C,37.97
SearchRoomByIDScreen,C,38.14
SearchRoomByName,D,38.16
SearchRoomByNameScreen,A,38.11
SearchUserByFirstName,C,27.78
SearchUserByFirstNameScreen,C,37.89
SearchUserByID,?,5.12
SearchUserByIDScreen,?,2.8
SortReservationsByDate,?,2.78
SortReservationsByDateScreen,A,37.56
SwapReservationData,?,2.8
UserManagementMenu,C,37.7
main,B,20.95

TOTAL_ELAPSED_TIME(sec),1306.52
