function,answer,elapsed_time_sec
AddNewReservation,B,9.12
AddNewReservationScreen,D,7.16
AddNewRoom,C,5.08
AddNewRoomScreen,?,6.12
AddNewUser,?,3.4
AddNewUserScreen,A,11.22
CheckRoomAvailabilityScreen,B,12.1
DeleteReservationByID,B,8.99
DeleteReservationScreen,A,14.39
DeleteRoomByID,?,3.42
DeleteRoomScreen,D,8.26
DeleteUserByID,B,7.57
DeleteUserScreen,D,7.31
DisplayReservationCard,C,9.11
DisplayReservationsScreen,D,14.77
DisplayRoomCard,C,10.45
DisplayRoomListScreen,C,11.48
DisplayUserCard,A,8.99
DisplayUserListScreen,?,7.17
ExitScreen,C,8.84
IsDate1BeforeDate2,D,5.35
IsTime1BeforeTime2,B,9.11
MainMenu,B,13.31
PauseProgram,B,8.49
ReadDate,C,13.87
ReadIntBetween,B,11.14
ReadReservationInfo,D,18.0
ReadReservationPeriod,B,12.33
ReadRoomInfo,B,8.69
ReadTime,?,6.79
ReadUserInfo,D,10.06
ReservationManagementMenu,D,7.87
RoomManagementMenu,D,8.87
ScreenHeader,A,25.62
SearchReservationByID,B,8.34
SearchRoomByID,A,8.23
SearchRoomByIDScreen,C,9.83
SearchRoomByName,C,8.61
SearchRoomByNameScreen,B,4.39
SearchUserByFirstName,A,15.64
SearchUserByFirstNameScreen,D,7.05
SearchUserByID,A,8.21
SearchUserByIDScreen,B,10.02
SortReservationsByDate,C,8.82
SortReservationsByDateScreen,A,12.51
SwapReservationData,A,7.71
UserManagementMenu,D,8.25
main,B,7.76

TOTAL_ELAPSED_TIME(sec),469.98
