function,answer,elapsed_time_sec
AddNewReservation,B,2.04
AddNewReservationScreen,D,2.78
AddNewRoom,B,1.92
AddNewRoomScreen,A,3.91
AddNewUser,C,2.83
AddNewUserScreen,A,2.8
CheckRoomAvailabilityScreen,D,2.24
DeleteReservationByID,B,1.45
DeleteReservationScreen,A,2.8
DeleteRoomByID,B,2.24
DeleteRoomScreen,C,3.2
DeleteUserByID,B,2.32
DeleteUserScreen,D,3.89
DisplayReservationCard,C,1.74
DisplayReservationsScreen,A,1.99
DisplayRoomCard,B,2.03
DisplayRoomListScreen,C,3.54
DisplayUserCard,A,1.79
DisplayUserListScreen,C,2.98
ExitScreen,B,3.29
IsDate1BeforeDate2,C,1.84
IsTime1BeforeTime2,B,3.17
MainMenu,B,3.03
PauseProgram,B,2.3
ReadDate,B,2.81
ReadIntBetween,B,2.81
ReadReservationInfo,D,2.8
ReadReservationPeriod,B,2.82
ReadRoomInfo,B,1.97
ReadTime,D,2.82
ReadUserInfo,C,1.81
ReservationManagementMenu,B,3.4
RoomManagementMenu,B,2.8
ScreenHeader,A,2.82
SearchReservationByID,A,2.4
SearchRoomByID,D,1.86
SearchRoomByIDScreen,A,2.1
SearchRoomByName,C,3.21
SearchRoomByNameScreen,D,2.07
SearchUserByFirstName,C,2.9
SearchUserByFirstNameScreen,A,2.81
SearchUserByID,B,3.05
SearchUserByIDScreen,B,2.24
SortReservationsByDate,C,1.93
SortReservationsByDateScreen,A,2.8
SwapReservationData,A,2.36
UserManagementMenu,D,2.03
main,B,2.92

TOTAL_ELAPSED_TIME(sec),133.65
