function,answer,elapsed_time_sec
AddNewReservation,B,1.87
AddNewReservationScreen,D,1.23
AddNewRoom,B,1.69
AddNewRoomScreen,A,1.42
AddNewUser,C,1.98
AddNewUserScreen,A,1.66
CheckRoomAvailabilityScreen,D,1.77
DeleteReservationByID,B,1.45
DeleteReservationScreen,A,1.32
DeleteRoomByID,B,2.03
DeleteRoomScreen,C,1.12
DeleteUserByID,B,1.73
DeleteUserScreen,B,2.2
DisplayReservationCard,C,1.17
DisplayReservationsScreen,D,1.67
DisplayRoomCard,D,1.49
DisplayRoomListScreen,C,2.33
DisplayUserCard,A,1.26
DisplayUserListScreen,C,2.01
ExitScreen,C,1.36
IsDate1BeforeDate2,A,1.67
IsTime1BeforeTime2,B,1.16
MainMenu,B,1.51
PauseProgram,B,2.28
ReadDate,B,2.14
ReadIntBetween,B,1.83
ReadReservationInfo,D,1.5
ReadReservationPeriod,B,1.25
ReadRoomInfo,B,1.75
ReadTime,D,1.47
ReadUserInfo,C,1.71
ReservationManagementMenu,B,2.11
RoomManagementMenu,B,1.25
ScreenHeader,A,1.3
SearchReservationByID,B,1.93
SearchRoomByID,D,1.63
SearchRoomByIDScreen,B,1.55
SearchRoomByName,C,1.54
SearchRoomByNameScreen,C,1.18
SearchUserByFirstName,D,1.61
SearchUserByFirstNameScreen,D,1.69
SearchUserByID,B,1.45
SearchUserByIDScreen,B,1.95
SortReservationsByDate,C,1.72
SortReservationsByDateScreen,A,1.32
SwapReservationData,A,1.35
UserManagementMenu,D,1.29
main,B,1.41

TOTAL_ELAPSED_TIME(sec),87.15
