function,answer,elapsed_time_sec
AddNewReservation,?,1.38
AddNewReservationScreen,?,0.89
AddNewRoom,?,0.84
AddNewRoomScreen,?,4.64
AddNewUser,?,0.82
AddNewUserScreen,?,0.79
CheckRoomAvailabilityScreen,?,0.79
DeleteReservationByID,?,0.81
DeleteReservationScreen,?,0.77
DeleteRoomByID,?,4.68
DeleteRoomScreen,?,0.78
DeleteUserByID,?,0.77
DeleteUserScreen,?,0.83
DisplayReservationCard,?,4.63
DisplayReservationsScreen,?,0.85
DisplayRoomCard,?,0.81
DisplayRoomListScreen,?,0.78
DisplayUserCard,?,0.77
DisplayUserListScreen,?,0.78
ExitScreen,?,0.79
IsDate1BeforeDate2,?,4.65
IsTime1BeforeTime2,?,0.78
MainMenu,?,0.78
PauseProgram,?,0.78
ReadDate,?,0.78
ReadIntBetween,?,0.8
ReadReservationInfo,?,0.77
ReadReservationPeriod,?,0.78
ReadRoomInfo,?,0.8
ReadTime,?,0.78
ReadUserInfo,?,0.81
ReservationManagementMenu,?,0.77
RoomManagementMenu,?,0.79
ScreenHeader,?,4.59
SearchReservationByID,?,0.78
SearchRoomByID,?,0.8
SearchRoomByIDScreen,?,0.77
SearchRoomByName,?,0.81
SearchRoomByNameScreen,?,0.76
SearchUserByFirstName,?,0.77
SearchUserByFirstNameScreen,?,0.86
SearchUserByID,?,4.55
SearchUserByIDScreen,?,0.78
SortReservationsByDate,?,0.8
SortReservationsByDateScreen,?,0.76
SwapReservationData,?,0.78
UserManagementMenu,?,4.69
main,?,0.81

TOTAL_ELAPSED_TIME(sec),75.62
