function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,B,B,True,
AddNewRoom,C,C,True,
AddNewRoomScreen,C,C,True,
AddNewUser,A,A,True,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,A,C,False,
DeleteReservationByID,B,A,False,
DeleteReservationScreen,B,B,True,
DeleteRoomByID,D,C,False,
DeleteRoomScreen,A,A,True,
DeleteUserByID,B,B,True,
DeleteUserScreen,A,A,True,
DisplayReservationCard,A,D,False,
DisplayReservationsScreen,D,D,True,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,A,A,True,
DisplayUserCard,D,D,True,
DisplayUserListScreen,A,A,True,
ExitScreen,C,C,True,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,C,C,True,
MainMenu,A,A,True,
PauseProgram,D,D,True,
ReadDate,C,C,True,
ReadIntBetween,A,D,False,
ReadReservationInfo,A,A,True,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,C,C,True,
ReadTime,D,D,True,
ReadUserInfo,D,D,True,
ReservationManagementMenu,C,D,False,
RoomManagementMenu,C,C,True,
ScreenHeader,C,C,True,
SearchReservationByID,B,B,True,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,B,B,True,
SearchRoomByName,D,D,True,
SearchRoomByNameScreen,A,A,True,
SearchUserByFirstName,C,C,True,
SearchUserByFirstNameScreen,A,C,False,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,B,B,True,
SwapReservationData,C,C,True,
UserManagementMenu,A,A,True,
main,D,C,False,
