function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,B,B,True,
AddNewRoom,C,C,True,
AddNewRoomScreen,C,C,True,
AddNewUser,A,A,True,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,C,C,True,
DeleteReservationByID,B,A,False,
DeleteReservationScreen,B,B,True,
DeleteRoomByID,A,C,False,
DeleteRoomScreen,A,A,True,
DeleteUserByID,A,B,False,
DeleteUserScreen,D,A,False,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,D,D,True,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,D,A,False,
DisplayUserCard,D,D,True,
DisplayUserListScreen,A,A,True,
ExitScreen,A,C,False,
IsDate1BeforeDate2,D,D,True,
IsTime1BeforeTime2,C,C,True,
MainMenu,C,A,False,
PauseProgram,D,D,True,
ReadDate,C,C,True,
ReadIntBetween,D,D,True,
ReadReservationInfo,B,A,False,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,C,C,True,
ReadTime,D,D,True,
ReadUserInfo,C,D,False,
ReservationManagementMenu,C,D,False,
RoomManagementMenu,C,C,True,
ScreenHeader,D,C,False,
SearchReservationByID,B,B,True,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,B,B,True,
SearchRoomByName,D,D,True,
SearchRoomByNameScreen,B,A,False,
SearchUserByFirstName,B,C,False,
SearchUserByFirstNameScreen,A,C,False,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,B,B,True,
SwapReservationData,D,C,False,
UserManagementMenu,D,A,False,
main,D,C,False,
