function,predicted,correct,is_correct,note
AddNewReservation,D,D,True,
AddNewReservationScreen,B,B,True,
AddNewRoom,C,C,True,
AddNewRoomScreen,B,C,False,
AddNewUser,A,A,True,
AddNewUserScreen,D,D,True,
CheckRoomAvailabilityScreen,C,C,True,
DeleteReservationByID,B,A,False,
DeleteReservationScreen,B,B,True,
DeleteRoomByID,D,C,False,
DeleteRoomScreen,B,A,False,
DeleteUserByID,B,B,True,
DeleteUserScreen,D,A,False,
DisplayReservationCard,D,D,True,
DisplayReservationsScreen,D,D,True,
DisplayRoomCard,D,D,True,
DisplayRoomListScreen,D,A,False,
DisplayUserCard,D,D,True,
DisplayUserListScreen,A,A,True,
ExitScreen,A,C,False,
IsDate1BeforeDate2,A,D,False,
IsTime1BeforeTime2,C,C,True,
MainMenu,A,A,True,
PauseProgram,D,D,True,
ReadDate,C,C,True,
ReadIntBetween,D,D,True,
ReadReservationInfo,B,A,False,
ReadReservationPeriod,D,D,True,
ReadRoomInfo,D,C,False,
ReadTime,D,D,True,
ReadUserInfo,C,D,False,
ReservationManagementMenu,A,D,False,
RoomManagementMenu,C,C,True,
ScreenHeader,C,C,True,
SearchReservationByID,B,B,True,
SearchRoomByID,B,B,True,
SearchRoomByIDScreen,D,B,False,
SearchRoomByName,D,D,True,
SearchRoomByNameScreen,A,A,True,
SearchUserByFirstName,B,C,False,
SearchUserByFirstNameScreen,D,C,False,
SearchUserByID,D,D,True,
SearchUserByIDScreen,D,D,True,
SortReservationsByDate,B,B,True,
SortReservationsByDateScreen,B,B,True,
SwapReservationData,C,C,True,
UserManagementMenu,D,A,False,
main,C,C,True,
