function,level,meta_score
PauseProgram,L0,0.5641276041666666
ScreenHeader,L0,0.22688802083333331
ReadIntBetween,L0,0.3815104166666667
ReadDate,L0,0.41601562499999994
ReadTime,L0,0.6998697916666666
IsDate1BeforeDate2,L0,0.7376302083333333
IsTime1BeforeTime2,L0,0.4127604166666667
ExitScreen,L0,0.6741536458333334
MainMenu,L0,0.25260416666666663
main,L0,0.2571614583333333
DisplayUserCard,L0,0.7187499999999999
ReadUserInfo,L0,0.17968749999999997
SearchUserByFirstName,L0,0.5865885416666667
SearchUserByID,L0,0.5514322916666666
AddNewUser,L0,0.5110677083333333
DeleteUserByID,L0,0.6875
AddNewUserScreen,L0,0.2779947916666667
SearchUserByFirstNameScreen,L0,0.6868489583333334
SearchUserByIDScreen,L0,0.3776041666666667
DisplayUserListScreen,L0,0.28678385416666663
DeleteUserScreen,L0,0.16471354166666666
UserManagementMenu,L0,0.3606770833333333
DisplayRoomCard,L0,0.47916666666666663
ReadRoomInfo,L0,0.33658854166666663
SearchRoomByID,L0,0.43229166666666663
AddNewRoom,L0,0.611328125
SearchRoomByName,L0,0.7161458333333333
DeleteRoomByID,L0,0.7376302083333333
AddNewRoomScreen,L0,0.4986979166666667
SearchRoomByNameScreen,L0,0.23893229166666666
SearchRoomByIDScreen,L0,0.7109375
DisplayRoomListScreen,L0,0.3587239583333333
DeleteRoomScreen,L0,0.6861979166666666
CheckRoomAvailabilityScreen,L0,0.5481770833333333
RoomManagementMenu,L0,0.251953125
DisplayReservationCard,L0,0.35481770833333337
SearchReservationByID,L0,0.7942708333333334
DeleteReservationByID,L0,0.6595052083333333
ReadReservationPeriod,L0,0.3421223958333333
ReadReservationInfo,L0,0.22591145833333334
AddNewReservation,L0,0.7626953124999999
AddNewReservationScreen,L0,0.23079427083333331
DeleteReservationScreen,L0,0.453125
DisplayReservationsScreen,L0,0.228515625
SwapReservationData,L0,0.3626302083333333
SortReservationsByDate,L0,0.2545572916666667
SortReservationsByDateScreen,L0,0.3313802083333333
ReservationManagementMenu,L0,0.5384114583333334
PauseProgram,L1,0.5852864583333333
ScreenHeader,L1,0.17936197916666666
ReadIntBetween,L1,0.4889322916666667
ReadDate,L1,0.2916666666666667
ReadTime,L1,0.3873697916666667
IsDate1BeforeDate2,L1,0.6735026041666666
IsTime1BeforeTime2,L1,0.671875
ExitScreen,L1,0.5286458333333334
MainMenu,L1,0.44140625
main,L1,0.3561197916666667
DisplayUserCard,L1,0.74609375
ReadUserInfo,L1,0.28515625
SearchUserByFirstName,L1,0.7018229166666666
SearchUserByID,L1,0.3977864583333333
AddNewUser,L1,0.4225260416666667
DeleteUserByID,L1,0.7565104166666666
AddNewUserScreen,L1,0.41080729166666663
SearchUserByFirstNameScreen,L1,0.4095052083333333
SearchUserByIDScreen,L1,0.5169270833333334
DisplayUserListScreen,L1,0.3564453125
DeleteUserScreen,L1,0.25358072916666663
UserManagementMenu,L1,0.630859375
DisplayRoomCard,L1,0.517578125
ReadRoomInfo,L1,0.33398437499999994
SearchRoomByID,L1,0.6673177083333334
AddNewRoom,L1,0.6158854166666666
SearchRoomByName,L1,0.39583333333333326
DeleteRoomByID,L1,0.6126302083333333
AddNewRoomScreen,L1,0.6022135416666666
SearchRoomByNameScreen,L1,0.25
SearchRoomByIDScreen,L1,0.6321614583333333
DisplayRoomListScreen,L1,0.30859375
DeleteRoomScreen,L1,0.4895833333333333
CheckRoomAvailabilityScreen,L1,0.794921875
RoomManagementMenu,L1,0.22005208333333331
DisplayReservationCard,L1,0.3489583333333333
SearchReservationByID,L1,0.7389322916666666
DeleteReservationByID,L1,0.5520833333333333
ReadReservationPeriod,L1,0.4720052083333333
ReadReservationInfo,L1,0.2825520833333333
AddNewReservation,L1,0.7561848958333333
AddNewReservationScreen,L1,0.337890625
DeleteReservationScreen,L1,0.625
DisplayReservationsScreen,L1,0.46809895833333326
