function,level,MCQA,metric,bleurt,sbc,統合スコア
DeleteUserScreen,L0,0.0,MCQA,,,
SearchRoomByNameScreen,L0,0.0,MCQA,,,
ReadReservationInfo,L0,0.0,MCQA,,,
DisplayReservationsScreen,L0,0.0,MCQA,,,
SearchUserByID,L1,0.0,MCQA,,,
DeleteUserScreen,L1,0.0,MCQA,,,
SearchRoomByNameScreen,L1,0.0,MCQA,,,
ReadReservationInfo,L1,0.0,MCQA,,,
SearchUserByID,L2,0.0,MCQA,,,
DeleteUserScreen,L2,0.0,MCQA,,,
SearchRoomByNameScreen,L2,0.0,MCQA,,,
ReadReservationInfo,L2,0.0,MCQA,,,
SearchUserByID,L3,0.0,MCQA,,,
DeleteUserScreen,L3,0.0,MCQA,,,
SearchRoomByNameScreen,L3,0.0,MCQA,,,
ReadReservationInfo,L3,0.0,MCQA,,,
SearchUserByID,L4,0.0,MCQA,,,
DeleteUserScreen,L4,0.0,MCQA,,,
SearchRoomByNameScreen,L4,0.0,MCQA,,,
ReadReservationInfo,L4,0.0,MCQA,,,
SearchUserByID,L5,0.0,MCQA,,,
DeleteUserScreen,L5,0.0,MCQA,,,
SearchRoomByNameScreen,L5,0.0,MCQA,,,
ReadReservationInfo,L5,0.0,MCQA,,,
SearchUserByID,L6,0.0,MCQA,,,
DeleteUserScreen,L6,0.0,MCQA,,,
SearchRoomByNameScreen,L6,0.0,MCQA,,,
ReadReservationInfo,L6,0.0,MCQA,,,
SearchUserByID,L7,0.0,MCQA,,,
DeleteUserScreen,L7,0.0,MCQA,,,
ReadReservationInfo,L7,0.0,MCQA,,,
ScreenHeader,L0,,bleurt,0.3993163704872131,,
IsDate1BeforeDate2,L0,,bleurt,0.9575342535972596,,
ScreenHeader,L1,,bleurt,0.3993163704872131,,
IsDate1BeforeDate2,L1,,bleurt,0.921772301197052,,
ExitScreen,L2,,bleurt,0.3812088966369629,,
IsDate1BeforeDate2,L3,,bleurt,0.921772301197052,,
ExitScreen,L3,,bleurt,0.2663719058036804,,
IsDate1BeforeDate2,L4,,bleurt,0.921772301197052,,
ExitScreen,L4,,bleurt,0.3607115149497986,,
IsDate1BeforeDate2,L5,,bleurt,0.921772301197052,,
ExitScreen,L5,,bleurt,0.3345218598842621,,
DisplayReservationCard,L5,,bleurt,0.465548038482666,,
IsDate1BeforeDate2,L6,,bleurt,0.921772301197052,,
ExitScreen,L6,,bleurt,0.2161741852760315,,
IsDate1BeforeDate2,L7,,bleurt,0.921772301197052,,
ExitScreen,L7,,bleurt,0.3468471467494964,,
ExitScreen,L0,,sbc,,0.7666999999999999,
DisplayUserListScreen,L0,,sbc,,0.4151,
ExitScreen,L1,,sbc,,0.7510749999999999,
main,L1,,sbc,,0.380725,
ExitScreen,L3,,sbc,,0.7666999999999999,
AddNewReservation,L6,,sbc,,0.75805,
AddNewReservation,L7,,sbc,,0.75485,
ScreenHeader,L0,,統合スコア,,,0.652830456829071
DeleteUserScreen,L0,,統合スコア,,,0.3834366700172424
SearchRoomByNameScreen,L0,,統合スコア,,,0.42461335503260295
ReadReservationInfo,L0,,統合スコア,,,0.41634913829167686
DisplayReservationsScreen,L0,,統合スコア,,,0.41603122803370157
ScreenHeader,L1,,統合スコア,,,0.6397637901624044
SearchUserByID,L1,,統合スコア,,,0.45513683121999104
DeleteUserScreen,L1,,統合スコア,,,0.4219734092394511
SearchRoomByNameScreen,L1,,統合スコア,,,0.4276462431271871
ReadReservationInfo,L1,,統合スコア,,,0.4294952760060628
SearchUserByID,L2,,統合スコア,,,0.4252003115971883
DeleteUserScreen,L2,,統合スコア,,,0.4146324552853902
SearchRoomByNameScreen,L2,,統合スコア,,,0.4418332952817281
ReadReservationInfo,L2,,統合スコア,,,0.42127191851933804
SearchUserByID,L3,,統合スコア,,,0.47429700129826863
DeleteUserScreen,L3,,統合スコア,,,0.4444215981801351
SearchRoomByNameScreen,L3,,統合スコア,,,0.42419745883941645
ReadReservationInfo,L3,,統合スコア,,,0.412958241558075
SearchUserByID,L4,,統合スコア,,,0.47502512432734173
DeleteUserScreen,L4,,統合スコア,,,0.44182900702158606
SearchRoomByNameScreen,L4,,統合スコア,,,0.41570393368403113
ReadReservationInfo,L4,,統合スコア,,,0.4075210932413737
AddNewReservation,L4,,統合スコア,,,0.8560565029462178
ExitScreen,L5,,統合スコア,,,0.654598953294754
SearchUserByID,L5,,統合スコア,,,0.4776440763155619
DeleteUserScreen,L5,,統合スコア,,,0.44262615222930907
SearchRoomByNameScreen,L5,,統合スコア,,,0.40612337690989175
DisplayReservationCard,L5,,統合スコア,,,0.655807679494222
ReadReservationInfo,L5,,統合スコア,,,0.4133943466186523
IsDate1BeforeDate2,L6,,統合スコア,,,0.8515574337323507
ExitScreen,L6,,統合スコア,,,0.6169913950920105
SearchUserByID,L6,,統合スコア,,,0.4559518614451091
DeleteUserByID,L6,,統合スコア,,,0.8621747321446737
DeleteUserScreen,L6,,統合スコア,,,0.44085771668752033
SearchRoomByNameScreen,L6,,統合スコア,,,0.41585156358083086
ReadReservationInfo,L6,,統合スコア,,,0.4299749817530314
SearchUserByID,L7,,統合スコア,,,0.4739597179730733
DeleteUserByID,L7,,統合スコア,,,0.8572971641222636
DeleteUserScreen,L7,,統合スコア,,,0.4338604421933492
ReadReservationInfo,L7,,統合スコア,,,0.42261265974044804
