function,level,weighted_score
PauseProgram,L0,0.771656920178731
ScreenHeader,L0,0.6528304568290708
ReadIntBetween,L0,0.7294924472173052
ReadDate,L0,0.7461956928571063
ReadTime,L0,0.7926764898935952
IsDate1BeforeDate2,L0,0.8482280845324196
IsTime1BeforeTime2,L0,0.7461460918744403
ExitScreen,L0,0.800691177590688
MainMenu,L0,0.7148467674255369
main,L0,0.7153979707717893
DisplayUserCard,L0,0.7889106095631915
ReadUserInfo,L0,0.6776577084223427
SearchUserByFirstName,L0,0.769859495004018
SearchUserByID,L0,0.7640195349693296
AddNewUser,L0,0.756522912375132
DeleteUserByID,L0,0.7858780110994972
AddNewUserScreen,L0,0.6999642392158506
SearchUserByFirstNameScreen,L0,0.7894944819450375
SearchUserByIDScreen,L0,0.7343243156750995
DisplayUserListScreen,L0,0.6969767880757647
DeleteUserScreen,L0,0.3834366700172428
UserManagementMenu,L0,0.7362459054629005
DisplayRoomCard,L0,0.757142786089579
ReadRoomInfo,L0,0.732279154841105
SearchRoomByID,L0,0.7485493522008257
AddNewRoom,L0,0.7721800954182941
SearchRoomByName,L0,0.7900598594983417
DeleteRoomByID,L0,0.7973856607119241
AddNewRoomScreen,L0,0.7548466065088906
SearchRoomByNameScreen,L0,0.4246133550326032
SearchRoomByIDScreen,L0,0.8023386543909705
DisplayRoomListScreen,L0,0.733739704386393
DeleteRoomScreen,L0,0.787117020511627
CheckRoomAvailabilityScreen,L0,0.7629778551419574
RoomManagementMenu,L0,0.7160485769907632
DisplayReservationCard,L0,0.7353698000590003
SearchReservationByID,L0,0.8104322375297544
DeleteReservationByID,L0,0.7789528661727902
ReadReservationPeriod,L0,0.7225568711598712
ReadReservationInfo,L0,0.4163491382916772
AddNewReservation,L0,0.8065745342890419
AddNewReservationScreen,L0,0.701961064370473
DeleteReservationScreen,L0,0.7509086499214169
DisplayReservationsScreen,L0,0.41603122803370185
SwapReservationData,L0,0.7342146576245623
SortReservationsByDate,L0,0.7189764130274452
SortReservationsByDateScreen,L0,0.7309428830464678
ReservationManagementMenu,L0,0.7656562099138893
PauseProgram,L1,0.77316206703186
ScreenHeader,L1,0.6397637901624041
ReadIntBetween,L1,0.7556267150561014
ReadDate,L1,0.7224141399065651
ReadTime,L1,0.7401227059364316
IsDate1BeforeDate2,L1,0.8232907670656837
IsTime1BeforeTime2,L1,0.784385893344879
ExitScreen,L1,0.7617333632151284
MainMenu,L1,0.7500524503707884
main,L1,0.7033735823949174
DisplayUserCard,L1,0.8029130893389381
ReadUserInfo,L1,0.7236857048352556
SearchUserByFirstName,L1,0.788293340651194
SearchUserByID,L1,0.4551368312199914
AddNewUser,L1,0.7462764175097145
DeleteUserByID,L1,0.8104958780606585
AddNewUserScreen,L1,0.7443507179260253
SearchUserByFirstNameScreen,L1,0.7450290357907611
SearchUserByIDScreen,L1,0.761186809635162
DisplayUserListScreen,L1,0.7362101214090981
DeleteUserScreen,L1,0.42197340923945137
UserManagementMenu,L1,0.7769662779172258
DisplayRoomCard,L1,0.7630015015920001
ReadRoomInfo,L1,0.7030880761146543
SearchRoomByID,L1,0.784261148548126
AddNewRoom,L1,0.7716281979560851
SearchRoomByName,L1,0.7425935300827023
DeleteRoomByID,L1,0.7805219670295712
AddNewRoomScreen,L1,0.7712062187194823
SearchRoomByNameScreen,L1,0.42764624312718735
SearchRoomByIDScreen,L1,0.775589374287923
DisplayRoomListScreen,L1,0.7265602564811704
DeleteRoomScreen,L1,0.7543798582394916
CheckRoomAvailabilityScreen,L1,0.8170758695602414
RoomManagementMenu,L1,0.7052217518488564
DisplayReservationCard,L1,0.7341941165288286
SearchReservationByID,L1,0.8024226912498472
DeleteReservationByID,L1,0.7633481794039406
ReadReservationPeriod,L1,0.7511159296671547
ReadReservationInfo,L1,0.42949527600606313
AddNewReservation,L1,0.7979038954416908
AddNewReservationScreen,L1,0.7293339416503904
DeleteReservationScreen,L1,0.7755732190767922
DisplayReservationsScreen,L1,0.7538204702695208
SwapReservationData,L1,0.7681657218933102
SortReservationsByDate,L1,0.7251633105595905
SortReservationsByDateScreen,L1,0.7341908179601032
ReservationManagementMenu,L1,0.8051594679196672
PauseProgram,L2,0.7733460562388099
ScreenHeader,L2,0.7084158640861509
ReadIntBetween,L2,0.7591886588414507
ReadDate,L2,0.7642706761995949
ReadTime,L2,0.7471453601519265
IsDate1BeforeDate2,L2,0.8077190259615578
IsTime1BeforeTime2,L2,0.7885152783393858
ExitScreen,L2,0.6929862988789874
MainMenu,L2,0.7274444336891172
main,L2,0.7468766687393185
DisplayUserCard,L2,0.7277102807362872
ReadUserInfo,L2,0.6938026236216226
SearchUserByFirstName,L2,0.7227872220039366
SearchUserByID,L2,0.42520031159718863
AddNewUser,L2,0.7808730146408079
DeleteUserByID,L2,0.7873242076555886
AddNewUserScreen,L2,0.7674433241208393
SearchUserByFirstNameScreen,L2,0.7361713743845619
SearchUserByIDScreen,L2,0.7656142741521197
DisplayUserListScreen,L2,0.7166401420275368
DeleteUserScreen,L2,0.4146324552853905
UserManagementMenu,L2,0.7382413639068601
DisplayRoomCard,L2,0.7943933568954467
ReadRoomInfo,L2,0.7644690885543821
SearchRoomByID,L2,0.7378723318417865
AddNewRoom,L2,0.7688597192446389
SearchRoomByName,L2,0.7816857088088986
DeleteRoomByID,L2,0.718352805995941
AddNewRoomScreen,L2,0.797662607860565
SearchRoomByNameScreen,L2,0.4418332952817283
SearchRoomByIDScreen,L2,0.7666415662447609
DisplayRoomListScreen,L2,0.7645220113436378
DeleteRoomScreen,L2,0.7527358745257058
CheckRoomAvailabilityScreen,L2,0.78346159842809
RoomManagementMenu,L2,0.7313386936187741
DisplayReservationCard,L2,0.7305170875549314
SearchReservationByID,L2,0.7685710048993427
DeleteReservationByID,L2,0.7586728119850157
ReadReservationPeriod,L2,0.7520366738955178
ReadReservationInfo,L2,0.4212719185193383
AddNewReservation,L2,0.7975705621083575
AddNewReservationScreen,L2,0.7564136814753213
DeleteReservationScreen,L2,0.7688476230621335
DisplayReservationsScreen,L2,0.7584793851534524
SwapReservationData,L2,0.7685848582903542
SortReservationsByDate,L2,0.7496262997945147
SortReservationsByDateScreen,L2,0.7216158933957415
ReservationManagementMenu,L2,0.7849639808972673
PauseProgram,L3,0.76909053513209
ScreenHeader,L3,0.7568318269093829
ReadIntBetween,L3,0.7886482089996335
ReadDate,L3,0.7707790095329283
ReadTime,L3,0.7506800348917639
IsDate1BeforeDate2,L3,0.826824100399017
IsTime1BeforeTime2,L3,0.7648604167302447
ExitScreen,L3,0.6776906352678933
MainMenu,L3,0.7346283502260842
main,L3,0.6717074327468869
DisplayUserCard,L3,0.7683984532992042
ReadUserInfo,L3,0.6909525575955706
SearchUserByFirstName,L3,0.7361613716125487
SearchUserByID,L3,0.4742970012982689
AddNewUser,L3,0.7861653752009072
DeleteUserByID,L3,0.7152737322171527
AddNewUserScreen,L3,0.7500187910079954
SearchUserByFirstNameScreen,L3,0.767169976933797
SearchUserByIDScreen,L3,0.7760265758832293
DisplayUserListScreen,L3,0.6898631176630654
DeleteUserScreen,L3,0.44442159818013544
UserManagementMenu,L3,0.7348489570299783
DisplayRoomCard,L3,0.8045766902287799
ReadRoomInfo,L3,0.7777595674514768
SearchRoomByID,L3,0.7505827032725014
AddNewRoom,L3,0.804021616967519
SearchRoomByName,L3,0.835998257732391
DeleteRoomByID,L3,0.7285446905136106
AddNewRoomScreen,L3,0.7905586005846658
SearchRoomByNameScreen,L3,0.42419745883941684
SearchRoomByIDScreen,L3,0.7883053320566811
DisplayRoomListScreen,L3,0.7537828696250913
DeleteRoomScreen,L3,0.7557417900721229
CheckRoomAvailabilityScreen,L3,0.7988532650947567
RoomManagementMenu,L3,0.7308886936187742
DisplayReservationCard,L3,0.7260735154469805
SearchReservationByID,L3,0.7436371023495989
DeleteReservationByID,L3,0.7725702799161274
ReadReservationPeriod,L3,0.7575366738955178
ReadReservationInfo,L3,0.41295824155807526
AddNewReservation,L3,0.8312624215126034
AddNewReservationScreen,L3,0.751195821603139
DeleteReservationScreen,L3,0.7341052005449928
DisplayReservationsScreen,L3,0.7623543851534523
SwapReservationData,L3,0.7691926042238869
SortReservationsByDate,L3,0.7520603206316628
SortReservationsByDateScreen,L3,0.7275232845942177
ReservationManagementMenu,L3,0.7860586988766984
PauseProgram,L4,0.7703793895721431
ScreenHeader,L4,0.7361984935760495
ReadIntBetween,L4,0.7923977737108865
ReadDate,L4,0.770570676199595
ReadTime,L4,0.7782136006991065
IsDate1BeforeDate2,L4,0.8442824337323505
IsTime1BeforeTime2,L4,0.7606655308405555
ExitScreen,L4,0.6826121716499327
MainMenu,L4,0.7386108532905576
main,L4,0.681058752218882
DisplayUserCard,L4,0.7441612765630083
ReadUserInfo,L4,0.706328781255086
SearchUserByFirstName,L4,0.7421153070131936
SearchUserByID,L4,0.47502512432734206
AddNewUser,L4,0.7863104591687518
DeleteUserByID,L4,0.8043772533416744
AddNewUserScreen,L4,0.7537075556437172
SearchUserByFirstNameScreen,L4,0.7337686970074969
SearchUserByIDScreen,L4,0.7732058982213336
DisplayUserListScreen,L4,0.7225862585067747
DeleteUserScreen,L4,0.44182900702158645
UserManagementMenu,L4,0.7016345823605852
DisplayRoomCard,L4,0.8185350235621133
ReadRoomInfo,L4,0.7666666573524472
SearchRoomByID,L4,0.773158195463816
AddNewRoom,L4,0.8025882836341856
SearchRoomByName,L4,0.8001629900614418
DeleteRoomByID,L4,0.758417467244466
AddNewRoomScreen,L4,0.7675416265487669
SearchRoomByNameScreen,L4,0.41570393368403147
SearchRoomByIDScreen,L4,0.7815838553428647
DisplayRoomListScreen,L4,0.7471148503303525
DeleteRoomScreen,L4,0.7597440844853717
CheckRoomAvailabilityScreen,L4,0.8138029994010922
RoomManagementMenu,L4,0.7508886936187742
DisplayReservationCard,L4,0.7043891971270242
SearchReservationByID,L4,0.7580119517962136
DeleteReservationByID,L4,0.7757202843030292
ReadReservationPeriod,L4,0.7520071735064185
ReadReservationInfo,L4,0.407521093241374
AddNewReservation,L4,0.8560565029462177
AddNewReservationScreen,L4,0.7445354006767271
DeleteReservationScreen,L4,0.7504468672116595
DisplayReservationsScreen,L4,0.7570019755363462
SwapReservationData,L4,0.7627509375572202
SortReservationsByDate,L4,0.7489021982510882
SortReservationsByDateScreen,L4,0.6975584991455075
ReservationManagementMenu,L4,0.7640475069363909
PauseProgram,L5,0.7654377229054765
ScreenHeader,L5,0.7420651602427162
ReadIntBetween,L5,0.7960811070442197
ReadDate,L5,0.7713540095329283
ReadTime,L5,0.7537217015584307
IsDate1BeforeDate2,L5,0.850099100399017
IsTime1BeforeTime2,L5,0.7705155308405556
ExitScreen,L5,0.6545989532947538
MainMenu,L5,0.7563720551808673
main,L5,0.6627067488352455
DisplayUserCard,L5,0.7553507644971209
ReadUserInfo,L5,0.7262703466733295
SearchUserByFirstName,L5,0.7404168630599974
SearchUserByID,L5,0.47764407631556227
AddNewUser,L5,0.7841854591687518
DeleteUserByID,L5,0.8232635882059731
AddNewUserScreen,L5,0.7604090503374733
SearchUserByFirstNameScreen,L5,0.7549078061103818
SearchUserByIDScreen,L5,0.7732058982213336
DisplayUserListScreen,L5,0.7223362585067747
DeleteUserScreen,L5,0.44262615222930946
UserManagementMenu,L5,0.7553095823605853
DisplayRoomCard,L5,0.8061920077959694
ReadRoomInfo,L5,0.7761416573524473
SearchRoomByID,L5,0.7666465563774105
AddNewRoom,L5,0.7959399873415627
SearchRoomByName,L5,0.7928046567281084
DeleteRoomByID,L5,0.763886128425598
AddNewRoomScreen,L5,0.77792960468928
SearchRoomByNameScreen,L5,0.4061233769098921
SearchRoomByIDScreen,L5,0.7775070720990497
DisplayRoomListScreen,L5,0.7465772923469541
DeleteRoomScreen,L5,0.7393244221687315
CheckRoomAvailabilityScreen,L5,0.8181417019844053
RoomManagementMenu,L5,0.7554033251762388
DisplayReservationCard,L5,0.6558076794942217
SearchReservationByID,L5,0.7790312908490497
DeleteReservationByID,L5,0.7772369509696959
ReadReservationPeriod,L5,0.7562332248687742
ReadReservationInfo,L5,0.41339434661865265
AddNewReservation,L5,0.842489836279551
AddNewReservationScreen,L5,0.7117516368230182
DeleteReservationScreen,L5,0.7421802005449928
DisplayReservationsScreen,L5,0.7769293851534523
SwapReservationData,L5,0.7811259375572202
SortReservationsByDate,L5,0.7238147509256996
