id,function,trigger,action,effect,constraint,average
F001,PauseProgram,0.3076923076923077,0.6101694915254238,0.49056603773584906,0.3225806451612903,0.4327521205287177
F002,ScreenHeader,0.17777777777777778,0.5060240963855421,0.36363636363636365,0.36,0.35185955944992087
F003,ReadIntBetween,0.32558139534883723,0.3888888888888889,0.6666666666666666,0.2318840579710145,0.4032552522188518
F004,ReadDate,0.5283018867924528,0.28205128205128205,0.22580645161290322,0.25,0.32153990511415953
F005,ReadTime,0.5,0.475,0.5,0.29850746268656714,0.4433768656716418
F006,IsDate1BeforeDate2,0.09090909090909091,0.43137254901960786,0.5454545454545454,0.3793103448275862,0.36176163255270766
F007,IsTime1BeforeTime2,0.09302325581395349,0.46808510638297873,0.4727272727272727,0.13513513513513514,0.292242692514835
F008,ExitScreen,0.6122448979591837,0.75,0.5970149253731343,0.6530612244897959,0.6530802619555285
F009,MainMenu,0.24489795918367346,0.5111111111111111,0.32432432432432434,0.2413793103448276,0.33042817624098414
F010,main,0.6666666666666666,0.425531914893617,0.36065573770491804,0.0967741935483871,0.3874071282033972
F011,DisplayUserCard,0.43636363636363634,0.3333333333333333,0.6349206349206349,0.4918032786885246,0.4741052208265323
F012,ReadUserInfo,0.29850746268656714,0.3,0.2857142857142857,0.11538461538461539,0.24990159094636707
F013,SearchUserByFirstName,0.4155844155844156,0.5531914893617021,0.4375,0.21212121212121213,0.4045992792668325
F014,SearchUserByID,0.52,0.6575342465753424,0.37333333333333335,0.3880597014925373,0.48473182035030327
F015,AddNewUser,0.6545454545454545,0.5142857142857142,0.6101694915254238,0.2153846153846154,0.498596318935302
F016,DeleteUserByID,0.5,0.35714285714285715,0.6571428571428571,0.29333333333333333,0.4519047619047619
F017,AddNewUserScreen,0.417910447761194,0.4675324675324675,0.45569620253164556,0.3181818181818182,0.4148302340017813
F018,SearchUserByFirstNameScreen,0.21428571428571427,0.5405405405405406,0.32941176470588235,0.2682926829268293,0.33813267561474164
F019,SearchUserByIDScreen,0.4827586206896552,0.3157894736842105,0.4146341463414634,0.4262295081967213,0.4098529372280126
F020,DisplayUserListScreen,0.35294117647058826,0.53125,0.3384615384615385,0.42857142857142855,0.4128060358758889
F021,DeleteUserScreen,0.5957446808510638,0.5581395348837209,0.29508196721311475,0.21052631578947367,0.4148731246843433
F022,UserManagementMenu,0.5365853658536586,0.38095238095238093,0.2978723404255319,0.3829787234042553,0.3995972026589567
F023,DisplayRoomCard,0.15,0.4473684210526316,0.48717948717948717,0.19444444444444445,0.3197480881691408
F024,ReadRoomInfo,0.21428571428571427,0.3492063492063492,0.17391304347826086,0.26666666666666666,0.25101794340924777
F025,SearchRoomByID,0.391304347826087,0.40625,0.2222222222222222,0.2,0.3049441425120773
F026,AddNewRoom,0.6538461538461539,0.5806451612903226,0.5964912280701754,0.25,0.5202456358016629
F027,SearchRoomByName,0.5454545454545454,0.38095238095238093,0.36619718309859156,0.3333333333333333,0.4064843607097128
F028,DeleteRoomByID,0.7241379310344828,0.3783783783783784,0.5263157894736842,0.24096385542168675,0.46744898857705797
F029,AddNewRoomScreen,0.64,0.3783783783783784,0.55,0.23880597014925373,0.45179608713190805
F030,SearchRoomByNameScreen,0.32558139534883723,0.3548387096774194,0.2909090909090909,0.1509433962264151,0.28056814804044067
F031,SearchRoomByIDScreen,0.33962264150943394,0.25925925925925924,0.30985915492957744,0.375,0.32093526392456767
F032,DisplayRoomListScreen,0.19047619047619047,0.5660377358490566,0.46808510638297873,0.4594594594594595,0.42101462304192133
F033,DeleteRoomScreen,0.4074074074074074,0.4507042253521127,0.4788732394366197,0.4675324675324675,0.4511293349321518
F034,CheckRoomAvailabilityScreen,0.7333333333333333,0.3783783783783784,0.2028985507246377,0.26666666666666666,0.395319232275754
F035,RoomManagementMenu,0.2926829268292683,0.37037037037037035,0.32432432432432434,0.25287356321839083,0.3100627961855884
F036,DisplayReservationCard,0.4166666666666667,0.18181818181818182,0.3157894736842105,0.2564102564102564,0.29267114464482885
F037,SearchReservationByID,0.38596491228070173,0.6052631578947368,0.6153846153846154,0.2823529411764706,0.47224140668413117
F038,DeleteReservationByID,0.5833333333333334,0.44155844155844154,0.6388888888888888,0.23376623376623376,0.4743867243867244
F039,ReadReservationPeriod,0.32653061224489793,0.34210526315789475,0.5135135135135135,0.29850746268656714,0.3701642129007183
F040,ReadReservationInfo,0.273972602739726,0.4,0.3132530120481928,0.5811965811965812,0.39210554899612504
F041,AddNewReservation,0.5423728813559322,0.4722222222222222,0.7368421052631579,0.6352941176470588,0.5966828316220928
F042,AddNewReservationScreen,0.4057971014492754,0.29906542056074764,0.4666666666666667,0.2826086956521739,0.3635344710822159
F043,DeleteReservationScreen,0.3076923076923077,0.3076923076923077,0.5862068965517241,0.12658227848101267,0.33204344760433807
F044,DisplayReservationsScreen,0.09090909090909091,0.3838383838383838,0.3835616438356164,0.45454545454545453,0.3282136432821364
F045,SwapReservationData,0.06896551724137931,0.297029702970297,0.3902439024390244,0.15873015873015872,0.22874232034521486
F046,SortReservationsByDate,0.375,0.45045045045045046,0.2,0.23853211009174313,0.3159956401355484
F047,SortReservationsByDateScreen,0.5263157894736842,0.24742268041237114,0.7213114754098361,0.3764705882352941,0.4678801333827964
F048,ReservationManagementMenu,0.5373134328358209,0.3120567375886525,0.38961038961038963,0.2696629213483146,0.37716087034579443
