id,function,field,semantic_similarity,bleu,completeness,f1_score,sbc
F001,PauseProgram,trigger,0.5183814167976379,0.03611948985310407,0.29411764705882354,0.3448275862068966,0.4253
F001,PauseProgram,action,0.7885153293609619,0.195647514979229,0.5384615384615384,0.5185185185185186,0.6792
F001,PauseProgram,effect,0.7525471448898315,0.030934588294313718,0.3,0.25,0.5899
F001,PauseProgram,constraint,0.6989332437515259,0.0169861974906263,0.15384615384615385,0.15384615384615385,0.5217
F002,ScreenHeader,trigger,0.6691635847091675,0.02560744480557418,0.36363636363636365,0.27586206896551724,0.5437
F002,ScreenHeader,action,0.7793143391609192,0.23713320246552005,0.5263157894736842,0.5128205128205129,0.6745
F002,ScreenHeader,effect,0.8544922471046448,0.0777031456121502,0.4666666666666667,0.42424242424242425,0.6992
F002,ScreenHeader,constraint,0.6416365504264832,0.014203609079723397,0.18181818181818182,0.10810810810810811,0.4869
F003,ReadIntBetween,trigger,0.8428923487663269,0.03124577801157052,0.5833333333333334,0.5,0.7098
F003,ReadIntBetween,action,0.8454914689064026,0.250737833894674,0.6842105263157895,0.6666666666666667,0.7538
F003,ReadIntBetween,effect,0.7314556837081909,0.4428500142691474,0.5333333333333333,0.5333333333333333,0.663
F003,ReadIntBetween,constraint,0.657535195350647,0.00956240657444202,0.2,0.15789473684210528,0.5012
F004,ReadDate,trigger,0.8400178551673889,0.1875114458383465,0.8181818181818182,0.7200000000000001,0.7704
F004,ReadDate,action,0.7640783786773682,0.28542161730635796,0.5185185185185185,0.5957446808510639,0.6671
F004,ReadDate,effect,0.6781653165817261,0.03370129264673146,0.375,0.3636363636363636,0.5531
F004,ReadDate,constraint,0.648209273815155,0.012689457668763376,0.17647058823529413,0.1818181818181818,0.4903
F005,ReadTime,trigger,0.8550166487693787,0.1875114458383465,0.5625,0.6000000000000001,0.7298
F005,ReadTime,action,0.6815609335899353,0.19406786950364166,0.44,0.5116279069767442,0.5845
F005,ReadTime,effect,0.6220109462738037,0.02945642544824925,0.5,0.41025641025641024,0.5384
F005,ReadTime,constraint,0.44047728180885315,0.008070340730148975,0.08695652173913043,0.10526315789473685,0.3265
F006,IsDate1BeforeDate2,trigger,0.8085856437683105,0.16188613565728213,0.45454545454545453,0.3846153846153846,0.6731
F006,IsDate1BeforeDate2,action,0.6506077647209167,0.02147732216048579,0.35,0.37837837837837834,0.5276
F006,IsDate1BeforeDate2,effect,0.6804853081703186,0.013481992522898105,0.4117647058823529,0.39999999999999997,0.56
F006,IsDate1BeforeDate2,constraint,0.661931574344635,0.007913247271422612,0.05,0.05000000000000001,0.4741
F007,IsTime1BeforeTime2,trigger,0.6256946325302124,0.020200106912694155,0.36363636363636365,0.33333333333333337,0.5127
F007,IsTime1BeforeTime2,action,0.8353537321090698,0.029597845050972595,0.3333333333333333,0.41379310344827586,0.6544
F007,IsTime1BeforeTime2,effect,0.8270727396011353,0.0348744977550996,0.5882352941176471,0.5882352941176471,0.7001
F007,IsTime1BeforeTime2,constraint,0.5720164179801941,0.014514683729032455,0.1724137931034483,0.23255813953488377,0.4363
F008,ExitScreen,trigger,0.8294568657875061,0.355310106137518,0.45454545454545453,0.5263157894736842,0.7071
F008,ExitScreen,action,0.844203770160675,0.46757901748754266,0.6666666666666666,0.75,0.771
F008,ExitScreen,effect,0.9143286347389221,0.1169455115701007,0.6428571428571429,0.6428571428571429,0.7803
F008,ExitScreen,constraint,0.9074855446815491,0.27668736912821895,0.7272727272727273,0.64,0.8084
F009,MainMenu,trigger,0.6299113631248474,0.020200106912694155,0.3076923076923077,0.29629629629629634,0.5045
F009,MainMenu,action,0.746824324131012,0.04512794491284685,0.30434782608695654,0.4,0.5882
F009,MainMenu,effect,0.7687845230102539,0.013659149296955463,0.45454545454545453,0.3333333333333333,0.6304
F009,MainMenu,constraint,0.6359198689460754,0.012607704921829504,0.15789473684210525,0.17647058823529413,0.478
F010,main,trigger,0.5980966687202454,0.05012578715739066,0.45454545454545453,0.45454545454545453,0.5146
F010,main,action,0.5427468419075012,0.01599248714366856,0.25,0.3157894736842105,0.4315
F010,main,effect,0.5313059091567993,0.04044024548098852,0.2727272727272727,0.3,0.4305
F010,main,constraint,0.6382411122322083,0.0247431486781153,0.2631578947368421,0.3125,0.5019
F011,DisplayUserCard,trigger,0.5638148188591003,0.022416933501922302,0.3333333333333333,0.28571428571428575,0.4636
F011,DisplayUserCard,action,0.7621786594390869,0.02795995064920722,0.35,0.38888888888888884,0.6063
F011,DisplayUserCard,effect,0.7988533973693848,0.1198091452856599,0.6923076923076923,0.6428571428571429,0.7096
F011,DisplayUserCard,constraint,0.6863130927085876,0.016734480530603443,0.1111111111111111,0.0975609756097561,0.5043
F012,ReadUserInfo,trigger,0.7448856234550476,0.024222037568834013,0.23529411764705882,0.29629629629629634,0.5709
F012,ReadUserInfo,action,0.6440344452857971,0.015613033855554424,0.35294117647058826,0.4444444444444445,0.523
F012,ReadUserInfo,effect,0.7163546085357666,0.031453315279984004,0.3333333333333333,0.36842105263157887,0.5713
